asin,ISBN10,brand,image_url,title,categories
679991158,679991158,Tish RabeAristides Ruiz,"https://images-na.ssl-images-amazon.com/images/I/515rqh7-myL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",There's No Place Like Space!: All About Our Solar System (Cat in the Hat's Learning Library),"[""Books"",""Children's Books"",""Literature & Fiction""]"
545688868,9.78055E+12,Caroline Jayne Church,"https://images-na.ssl-images-amazon.com/images/I/51o8TFXmWHL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",I Am a Big Brother (Caroline Jayne Church),"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]"
545688981,545688981,Caroline Jayne Church,"https://images-na.ssl-images-amazon.com/images/I/513TXlqc4OL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",I Am a Big Sister (Caroline Jayne Church),"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]"
593138309,593138309,Clea Shearer,"https://images-na.ssl-images-amazon.com/images/I/51h5OJSeIgL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",The Home Edit Life: The No-Guilt Guide to Owning What You Want and Organizing Everything,"[""Books"",""Crafts, Hobbies & Home"",""Home Improvement & Design""]"
545790352,545790352,J.K. Rowling,"https://images-na.ssl-images-amazon.com/images/I/51YRRwUALDL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg","Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)","[""Books"",""Children's Books"",""Growing Up & Facts of Life""]"
593139135,593139135,Matthew McConaughey,"https://images-na.ssl-images-amazon.com/images/I/41xNw77nsCL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",Greenlights,"[""Books"",""Biographies & Memoirs"",""Arts & Literature""]"
593157494,593157494,Isabel Allende,"https://images-na.ssl-images-amazon.com/images/I/51k40rxzvEL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",A Long Petal of the Sea: A Novel,"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
059315777X,059315777X,John Grisham,"https://images-na.ssl-images-amazon.com/images/I/51KZlUyvrDL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",Camino Winds: A Novel,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]"
545852501,1338598597,Raina Telgemeier,"https://images-na.ssl-images-amazon.com/images/I/31I13aAa6HL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",Guts: A Graphic Novel,"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]"
593157818,593157818,John Grisham,"https://images-na.ssl-images-amazon.com/images/I/51aDRE8I0sS._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",A Time for Mercy: A Jake Brigance Novel,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]"
054585251X,054585251X,Raina Telgemeier,"https://images-na.ssl-images-amazon.com/images/I/31FPIhC+muL._SY344_BO1,204,203,200_.jpg",Guts: A Graphic Novel (Library Edition),"[""Books"",""Children's Books"",""Growing Up & Facts of Life""]"
593157826,593157826,John Grisham,"https://images-na.ssl-images-amazon.com/images/I/51tSD9nTm3S._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",A Time for Mercy: A Jake Brigance Novel,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]"
529100770,529100770,Sarah Young,"https://images-na.ssl-images-amazon.com/images/I/41Uzd5RubCL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",Jesus Calling - Deluxe Edition Teal Cover: Enjoying Peace in His Presence,"[""Books"",""Christian Books & Bibles"",""Bible Study & Reference""]"
593167163,593167163,Erik Larson,"https://images-na.ssl-images-amazon.com/images/I/51NVBnpEuBL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg","The Splendid and the Vile: A Saga of Churchill, Family, and Defiance During the Blitz","[""Books"",""Biographies & Memoirs"",""Leaders & Notable People""]"
593168488,593168488,John Grisham,"https://images-na.ssl-images-amazon.com/images/I/51evGBQz4CL._SX218_BO1,204,203,200_QL40_ML2_.jpg",The Judge's List: A Novel (The Whistler),"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]"
593168534,593168534,John Grisham,"https://images-na.ssl-images-amazon.com/images/I/412ymSAmj1L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",The Judge's List: A Novel (The Whistler),"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]"
593168542,593168542,John Grisham,"https://images-na.ssl-images-amazon.com/images/I/61vcdaSK7DL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",A Time for Mercy (Jake Brigance),"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]"
593170989,593170989,Robert Iger,"https://images-na.ssl-images-amazon.com/images/I/41wiUbdP3LL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company (Random House Large Print),"[""Books"",""Humor & Entertainment"",""Movies""]"
593172078,593172078,Erik Larson,"https://images-na.ssl-images-amazon.com/images/I/51pb9sjHAPL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg","The Splendid and the Vile: A Saga of Churchill, Family, and Defiance During the Blitz","[""Books"",""Biographies & Memoirs"",""Leaders & Notable People""]"
525536299,525536299,Brit Bennett,"https://images-na.ssl-images-amazon.com/images/I/41EzNnr4YUL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",The Vanishing Half: A Novel,"[""Books"",""Literature & Fiction"",""Genre Fiction""]"
684801221,684801221,Ernest Hemingway,"https://images-na.ssl-images-amazon.com/images/I/417YVe6-J-L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg","The Old Man and The Sea, Book Cover May Vary","[""Books"",""Literature & Fiction"",""Genre Fiction""]"
545935172,545935172,Dav Pilkey,"https://images-na.ssl-images-amazon.com/images/I/51W8Y9yhx3L._SY291_BO1,204,203,200_QL40_ML2_.jpg",Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),"[""Books"",""Children's Books"",""Comics & Graphic Novels""]"
545935180,545935180,Dav Pilkey,"https://images-na.ssl-images-amazon.com/images/I/51f3jJepQcL._SY291_BO1,204,203,200_QL40_ML2_.jpg",Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4),"[""Books"",""Children's Books"",""Comics & Graphic Novels""]"
545935202,545935202,Dav Pilkey,"https://images-na.ssl-images-amazon.com/images/I/51A490Wdp9L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",Dog Man Unleashed: From the Creator of Captain Underpants (Dog Man #2),"[""Books"",""Children's Books"",""Comics & Graphic Novels""]"
545935210,545935210,Dav Pilkey,"https://images-na.ssl-images-amazon.com/images/I/51G51ip9ONL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3),"[""Books"",""Children's Books"",""Comics & Graphic Novels""]"
634065408,634065408,David M. Brewster,"https://images-na.ssl-images-amazon.com/images/I/51QxQO+m8fL._SY344_BO1,204,203,200_.jpg",Teach Yourself to Play Guitar: A Quick and Easy Introduction for Beginners,"[""Books"",""Arts & Photography"",""Music""]"
